@verdadedura,"respeito todo mundo, mas esse negócio de gênero fluido é delírio coletivo 🌀",report,monsters_41
@ricardosilv3302,"não existe isso de 'pronome neutro', o que existe é português correto e Deus no comando 🙏",report,Troll02
@cabomatos031,"homem de verdade usa farda, não saia 🤷‍♂️",report,Asmim_Mell-Sheet_0
@emotional_nerdd,Hoje em dia qualquer adolescente que tá triste já diz que tem depressão. Arruma um trabalho ou uma louça pra lavar pra ver se não passa.,report,Troll1
@carlihhtos,tá difícil saber se é desfile de moda ou sala de aula com tanto homem maquiado 😅,report,PeãoAzulLegh-Sheet_0
@pistolamassincero,bom mesmo era quando homem era homem e mulher era mulher 😤,report,Troll_Boss_Raiva
@valterdobemm,"as crianças precisam de limites, não de desfile de orgulho gay na escola 🤢",report,monsters_59
@pauloOconsultor,"Miserável dando pitaco em economia é a coisa mais engraçada que tem, nem concluiu o ensino médio e acha que sabe opinar🤣🤣 ",report,TioMilionario-Sheet_0
@avanteciencia09,"Estou irritado, cheguei no trabalho e a mulher do setor não tinha passado café ainda, além de produzir mais, ainda vou ter que passar o café? Me poupe!",report,Npc_Aleatorio2-export_0
@max_krvalh0,"Se quer respeito, começa se dando ao respeito. Não dá pra postar foto de shortinho e depois reclamar de assédio.",report,rogues_26
@cordeiradosenhor7,"Essa semana apareceu uma casa de macumba aqui perto de casa, esse mundo tá perdido mesmo, vou mandar derrubar esse negócio.",report,rogues_31
@uniao_fc1330,"Esse jogador que contrataram é horroroso, tinha que ser argentino mesmo...",report,rogues_18
@maria88022,"Essa atriz tem uma testa que parece um aeroporto de mosca, não tinha niguém mais normal pra colocar? 🤣🤣",report,Jujuclena_Limpa-Sheet_0
@maria88022,Porque é tão difícil ser normal? Tipo como é que eu vou explicar pro meu filho um cara barbudo andando com roupa de mulher por aí?,report,Jujuclena_Limpa-Sheet_0
@cheirodecaféepólvora,"Ficar chorando sobre racismo online não muda nada, quer mudança? Vai estudar e trabalhar que nem todo mundo",report,monsters_47
